School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
Youngker High School,"Buckeye, AZ",85338,1987,105,23:1,92,Yes,Yes,17,TRUE,21.64,-,65.12,1022,1083,Yes,A,9
Arizona College Prep,"Chandler, AZ",85338,1225,13,22:1,99,Yes,Yes,2,FALSE,41.09,31.98,14.66,1051,969,Yes,A,8
Az Compass Prep School,"Chandler, AZ",85338,174,237,-,88,Yes,Yes,-,FALSE,10.53,-,25.91,159,112,Yes,A,6
Basha High School,"Chandler, AZ",85338,2420,33,20:1,91,Yes,Yes,3,FALSE,59.89,10.98,17.48,1505,1371,Yes,A,11
Basis Chandler,"Chandler, AZ",85339,377,30,-,98,Yes,Yes,-,FALSE,8.37,81.6,3.31,620,545,Yes,A,21
Blueprint High School,"Chandler, AZ",85339,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
Bogle Junior High School,"Chandler, AZ",85249,1233,108,19:1,-,Yes,Yes,-,FALSE,43.73,7.97,31.99,532,519,Yes,A,6
Brightmont Academy - Chandler,"Chandler, AZ",85249,70,-,4:1,-,Yes,Yes,-,TRUE,-,-,-,-,-,Yes,-,-
Chandler High School,"Chandler, AZ",85249,3549,89,22:1,88,Yes,Yes,19,TRUE,22.32,3.69,56.01,1788,1690,Yes,B,21
Chandler Online Academy,"Chandler, AZ",85249,370,-,19:1,88,Yes,Yes,-,FALSE,47.81,9.01,26.56,137,209,Yes,B,1
Great Hearts Academies - Archway Chandler,"Chandler, AZ",85249,529,-,-,-,Yes,Yes,-,FALSE,47.74,17.48,18.8,248,279,No,A,6
Great Hearts Academies - Chandler Prep,"Chandler, AZ",85249,325,63,-,99,Yes,Yes,-,FALSE,48.74,18.26,16.29,352,349,No,A,8
Great Hearts Academies - Lincoln Prep,"Chandler, AZ",85249,197,-,-,97,Yes,Yes,-,TRUE,46.92,22.99,14.02,296,292,Yes,C,16
Hamilton High School,"Chandler, AZ",85249,3926,24,21:1,90,Yes,Yes,-,FALSE,43.49,18.7,21.45,1772,1880,Yes,A,20
Intelli-school,"Chandler, AZ",85249,70,-,-,6,Yes,Yes,-,FALSE,-,-,74.51,22,27,No,-,1
Kaizen Education Foundation Dba El Dorado High School,"Chandler, AZ",85249,188,-,-,18,Yes,Yes,33,FALSE,21.78,-,58.42,104,83,No,B,3
Ken 'chief' Hill Learning Academy,"Chandler, AZ",85249,-,-,-,-,Yes,Yes,-,TRUE,-,-,-,-,-,No,-,-
Mosaica Preparatory Academy Of Chandler,"Chandler, AZ",85249,-,-,-,-,Yes,Yes,-,FALSE,-,-,-,-,-,Yes,-,-
