School,City,Zip Code,2023 Student Enrollments,AZ Rank,Student-Teacher Ratio,Graduation Rate%,Dual Enrollment,Offers Electives,Free Lunch (%),Mental Health Services,Racial % - White,Racial % - Asian,Racial % - Hispanic,Gender - Male,Gender - Female,AP Classes,School Grade,Inexperienced Core Acadamic Teachers
West-mec - Apollo High School,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
West-mec - Cactus High School,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL
West-mec - Central Campus,"Glendale, AZ",85302,10,NULL,1:1,NULL,No,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
West-mec - Copper Canyon High School,"Glendale, AZ",85302,NULL,NULL,NULL,NULL,Yes,Yes,NULL,FALSE,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NULL
West-mec- Glendale High School,"Glendale, AZ",85307,10,NULL,1:1,NULL,No,Yes,,FALSE,60,10,30,NULL,NULL,Yes,NULL,5
West-mec - Independence High School,"Glendale, AZ",85303,2,61,NULL,NULL,Yes,Yes,58,FALSE,35,3,47,NULL,NULL,Yes,NULL,3
WesT-mec - Ironwood High school,"Glendale, AZ",85304,1905,733,21:1,76,Yes,Yes,9,,35,3,47,NULL,NULL,No,NULL,2
West-mec - Mountain Ridge High School,"Glendale, AZ",85310,1,28,25:1,NULL,No,Yes,41,FALSE,100,NA,NA,NULL,NULL,Yes,NULL,7
West-mec - Raymond S. Kellis,"Glendale, AZ",85305,2,NULL,N/A,98,Yes,Yes,NULL,TRUE,N/A,N/A,50,NULL,NULL,Yes,A,NULL
West-mec - Sandra Day O'connor High School,"Glendale, AZ",85310,4,NULL,N/A,NULL,Yes,Yes,7,TRUE,36,3,46,NULL,NULL,Yes,B,6
Westland School Brighton Campus,"Glendale,AZ",85033,310,229,N/A,NULL,Yes,Yes,5,TRUE,35,3,47,NULL,NULL,Yes,A,5
Aspc-perryville,"Goodyear, AZ",85338,6,NULL,N/A,95,Yes,Yes,NULL,TRUE,17,N/A,66,NULL,NULL,Yes,NULL,8
Basis Goodyear,"Goodyear, AZ",85258,269,NULL,N/A,,Yes,Yes,NULL,TRUE,24,28,25,NULL,NULL,Yes,A,6
Desert Edge High School,"Goodyear, AZ",85338,1786,96,21:1,93,Yes,Yes,NULL,TRUE,22,3,57,NULL,,Yes,A,4
Estrella Foothills High School,"Goodyear, AZ",85338,1253,90,25:1,NULL,Yes,Yes,72,TRUE,46,1,43,NULL,NULL,Yes,A,1
Great Hearts Academies - Archway Trivium West,"Goodyear, AZ",85034,531,NULL,N/A,NULL,Yes,Yes,NULL,TRUE,43,8,35,NULL,NULL,Yes,B,7
Great Hearts Academies - Trivium Prep,"Goodyear, AZ",85034,904,95,N/A,95,Yes,Yes,,TRUE,42,9,34,NULL,NULL,Yes,B,3
Millennium High School,"Goodyear, AZ",85395,1965,50,21:1,90,Yes,Yes,39,TRUE,41,7,37,NULL,NULL,Yes,A,5
West-mec - Desert Edge High School,"Goodyear, AZ",85338,5,NULL,N/A,NULL,Yes,Yes,NULL,FALSE,40,20,40,NULL,NULL,Yes,NULL,2
West-mec - Estrella Foothills High School,"Goodyear, AZ",85338,14,NULL,N/A,NULL,Yes,Yes,NULL,FALSE,43,N/A,21,NULL,NULL,No,B,4
West-mec - Millennium High School,"Goodyear, AZ",85395,1,NULL,N/A,NULL,Yes,Yes,42,TRUE,N/A,N/A,100,NULL,NULL,No,B,6
Williams Field High School,"Higley,AZ",85236,1966,51,19:1,97,Yes,Yes,NULL,TRUE,58,5,22,NULL,NULL,Yes,A,1
Betty Fairfax High School,"Laveen, AZ",85339,1847,166,21:1,83,Yes,Yes,11,TRUE,8,2,60,NULL,NULL,Yes,A,0
Cesar Chavez High School,"Laveen, AZ",85339,2865,144,20:1,81,No,Yes,81,TRUE,4,1,75,NULL,NULL,Yes,B,8
Country Gardens Charter School,"Laveen, AZ",85339,413,370,NULL,50,No,Yes,0,TRUE,26,NULL,59,NULL,NULL,No,NULL,10
Heritage Academy Laveen,"Laveen, AZ",85339,584,NULL,NULL,94,Yes,Yes,0,TRUE,31,4,53,NULL,NULL,Yes,NULL,5
Academy With Community Partner,"Mesa,AZ",85203,135,NULL,NULL,50,Yes,Yes,82,FALSE,27,NULL,62,NULL,NULL,No,NULL,8
Arizona Agribusiness & Equine Center Inc. - Red Mountain,"Mesa,AZ",85012,126,NULL,NULL,NULL,Yes,Yes,NULL,TRUE,76,2,14,NULL,NULL,Yes,B,4
Asu Preparatory Academy-polytechnic High School,"Mesa,AZ",85212,424,NULL,NULL,95,Yes,Yes,NULL,TRUE,37,5,44,NULL,NULL,Yes,A,3
Basis Mesa,"Mesa,AZ",85212,808,11,NULL,90,Yes,Yes,NULL,TRUE,39,26,19,NULL,NULL,Yes,A,7
Carson Junior High School,"Mesa,AZ",85201,1125,456,19:1,NULL,Yes,Yes,55,TRUE,17,1,56,NULL,NULL,Yes,A,6
Desert Ridge High School,"Mesa,AZ",85209,2400,123,24:1,92,Yes,Yes,NULL,TRUE,60,3,28,NULL,NULL,Yes,NULL,NULL
Desert Ridge Junior High School,"Mesa,AZ",85209,1035,280,22:1,NULL,No,No,NULL,TRUE,40,20,40,NULL,NULL,Yes,B,4
Dobson High School,"Mesa,AZ",85202,2323,149,20:1,75,Yes,Yes,90,TRUE,29,2,52,NULL,NULL,Yes,NULL,NULL
